Language,Article Name,Subarticle Name,Article First Paragraph Length,Subarticle First Paragraph Length,rating1,rating2,rating1_time,rating2_time,MeanRating,only3,gte2,one3,gte25,Score Difference,Column 16,Column 17,Column 18,Column 19
EN,Compass,Magnetic deviation,953,181,3,2,52474,62927,2.5,0,1,1,1,1,,Average Difference,0.71,
ES,Homo sapiens,Cultura,200,356,1,0,212772,42023,0.5,0,0,0,0,1,,Deviation,0.713051338302703,
ES,Tolerancia social,Discriminacion,135,625,2,1,81906,138485,1.5,0,0,0,0,1,,Difference of 0,85 (42.5%),
EN,The Legend of Zelda: Majora's Mask,The Legend of Zelda series#Gameplay,723,1112,2,0,620286,97768,1,0,0,0,0,2,,Difference of 1,91 (45.5%),
EN,Coconut,Coconut oil,518,1034,2,2,147211,126175,2,0,1,0,0,0,,Difference of 2,21 (10.5%),
ES,The Legend of Zelda: Ocarina of Time,Anexo:Personajes de The Legend of Zelda,961,141,1,1,86709,80132,1,0,0,0,0,0,,Difference of 3,3 (1.5%),
EN,Science in the medieval Islamic world,Timeline of Islamic science and technology,439,282,3,2,218174,106904,2.5,0,1,1,1,1,,,,
EN,Compass,Fluxgate compass,953,474,3,3,353318,25355,3,1,1,1,1,0,,,José,Isely
EN,Magnetometer,Intermagnet,115,143,0,1,22657,279802,0.5,0,0,0,0,1,,Average Time (ms),66476.46,140505.52
ES,"Capo di Noli, cerca de Genova",Neoimpresionismo,171,599,1,1,90615,103605,1,0,0,0,0,0,,Total Time (ms),13295292,28101104
ES,Homo sapiens,Historia del arte,200,118,1,0,619013,28460,0.5,0,0,0,0,1,,Max Time (ms),620286,2557774
ES,Dragon,Yamata-no-Orochi,69,503,0,0,108630,543199,0,0,0,0,0,0,,,,
EN,Science in the medieval Islamic world,List of Arab scientists and scholars,439,258,2,3,50492,66770,2.5,0,1,1,1,1,,,,
EN,FIFA World Cup,National team appearances in the FIFA World Cup,487,138,2,2,203731,599465,2,0,1,0,0,0,,,,
EN,Compass,Magnetic dip,953,298,3,1,21061,680685,2,0,1,1,0,2,,,,
ES,Gorillaz,Anexo:Premios y nominaciones de Gorillaz,1278,1129,3,3,160779,67873,3,1,1,1,1,0,,,,
EN,Singing,Voice pedagogy,1024,220,2,2,32323,221256,2,0,1,0,0,0,,,,
EN,Microsoft Excel,Visual basic for applications,569,992,0,0,19244,113779,0,0,0,0,0,0,,,,
EN,Budapest,List of twin towns and sister cities in Hungary,877,432,1,0,481865,82079,0.5,0,0,0,0,1,,,,
ES,Calculo infinitesimal,Calculo diferencial,202,405,3,3,271760,135513,3,1,1,1,1,0,,,,
ES,Copa Mundial de Futbol,Copa Mundial de Futbol Sub-20,524,299,2,1,142870,102798,1.5,0,0,0,0,1,,,,
ES,Segunda Guerra Mundial,Cronologia de la Segunda Guerra Mundial,934,133,3,3,22627,139522,3,1,1,1,1,0,,,,
ES,Ecologia,Geobiologia,533,386,2,1,389489,106595,1.5,0,0,0,0,1,,,,
EN,Human factors and ergonomics,Single pilot resource management,404,592,0,1,79591,350755,0.5,0,0,0,0,1,,,,
ES,Organizacion de las Naciones Unidas,Ley de cuidados inversos,370,241,0,0,60560,71440,0,0,0,0,0,0,,,,
EN,European Space Agency,European integration#Space,405,287,1,0,258084,640520,0.5,0,0,0,0,1,,,,
ES,Odin,Hold Nickar,123,525,1,2,184584,368714,1.5,0,0,0,0,1,,,,
EN,Actor,Mime,356,430,0,1,32147,112480,0.5,0,0,0,0,1,,,,
EN,Craft,Studio craft,369,483,1,3,23435,119263,2,0,1,1,0,2,,,,
EN,Large Hadron Collider,Super Large Hadron Collider,685,336,3,3,18484,241606,3,1,1,1,1,0,,,,
ES,Segunda Guerra Mundial,Resistencia durante la Segunda Guerra Mundial,934,550,3,2,11341,15007,2.5,0,1,1,1,1,,,,
EN,Large Hadron Collider,Safety of particle collisions at the Large Hadron Collider,685,845,3,3,41425,19831,3,1,1,1,1,0,,,,
ES,Queen,A Day at the Races,371,332,3,3,23674,27377,3,1,1,1,1,0,,,,
ES,J. R. R. Tolkien,Roverandom,421,541,2,2,416894,39497,2,0,1,0,0,0,,,,
ES,House M. D.,Anexo:Cuarta temporada de House,819,155,3,3,12646,18136,3,1,1,1,1,0,,,,
EN,Apprenticeship,German model,846,335,0,0,98433,150559,0,0,0,0,0,0,,,,
ES,Organizacion de las Naciones Unidas,Organizacion Mundial de la Salud,370,417,2,3,10430,37957,2.5,0,1,1,1,1,,,,
ES,Tomas Cipriano de Mosquera,Batalla de Cuaspud,581,192,1,1,99946,45122,1,0,0,0,0,0,,,,
ES,Homo sapiens,Amor,200,686,0,0,87251,667363,0,0,0,0,0,0,,,,
ES,OTAN,Alfabeto fonetico de la OTAN,1235,408,1,1,132073,341108,1,0,0,0,0,0,,,,
ES,Segunda Guerra Mundial,Batalla del Atlantico,934,319,2,3,111343,24820,2.5,0,1,1,1,1,,,,
ES,Esquema de piramide,Celulas de la abundancia,537,553,2,2,494946,316962,2,0,1,0,0,0,,,,
EN,Hard disk drive,Automatic acoustic management,518,364,2,1,43086,226557,1.5,0,0,0,0,1,,,,
ES,Segunda Guerra Mundial,Operacion Market Garden,934,464,3,2,15652,300984,2.5,0,1,1,1,1,,,,
ES,Imperio aleman,Rechtsstaat,637,106,2,0,28313,108350,1,0,0,0,0,2,,,,
ES,Derechos humanos,Organizacion Internacional del Trabajo,437,366,1,0,8923,191797,0.5,0,0,0,0,1,,,,
ES,Turquia,Organizacion territorial de Turquia,695,591,3,3,28387,155396,3,1,1,1,1,0,,,,
EN,Imperial College London,Imperial College Union,380,249,3,2,11935,211014,2.5,0,1,1,1,1,,,,
EN,Papermaking,Papermachine,114,52,3,2,69161,197554,2.5,0,1,1,1,1,,,,
EN,Model (profession),Spokesmodel,225,508,2,3,71340,324732,2.5,0,1,1,1,1,,,,
ES,Ecologia,Ecozona,533,224,2,1,47812,159235,1.5,0,0,0,0,1,,,,
ES,Teléfono,Anexo:Paises por numero de lineas telefonicas,137,141,3,1,23728,381471,2,0,1,1,0,2,,,,
EN,Actor,Dramatis personæ,356,589,2,3,40701,75147,2.5,0,1,1,1,1,,,,
ES,Sacro Imperio Romano Germanico,Anexo:Estados del Sacro Imperio Romano Germanico,407,57,3,3,25490,36750,3,1,1,1,1,0,,,,
EN,Science in the medieval Islamic world,List of Turkish Philosophers and scientists,439,61,1,3,83559,11028,2,0,1,1,0,2,,,,
ES,Queen,Greatest Hits II (album de Queen),371,453,3,3,8334,18360,3,1,1,1,1,0,,,,
EN,Dan Leno,Stage performances of Dan Leno,340,777,3,3,9824,39741,3,1,1,1,1,0,,,,
EN,Dragon,Proto-Indo-European religion,402,585,0,0,19049,119829,0,0,0,0,0,0,,,,
ES,Stephenie Meyer,Luna nueva (novela),261,237,2,3,16394,26089,2.5,0,1,1,1,1,,,,
ES,Especie,Filo,385,302,2,1,46613,109466,1.5,0,0,0,0,1,,,,
ES,Segunda Guerra Mundial,Batalla de Madagascar,934,240,3,3,17859,37977,3,1,1,1,1,0,,,,
ES,Coleoptera,Anexo:Familias y subfamilias de coleopteros,466,584,3,3,20034,118047,3,1,1,1,1,0,,,,
ES,Torneo Apertura 2009 (Colombia),Anexo:Torneo Apertura 2009 (Colombia) - Cuadrangulares semifinales,455,231,3,3,13673,34795,3,1,1,1,1,0,,,,
EN,Human factors and ergonomics,Back injury,404,469,0,0,11745,25207,0,0,0,0,0,0,,,,
EN,Deja vu,Rapport congruency,186,295,0,1,27963,35416,0.5,0,0,0,0,1,,,,
EN,Model (profession),Model (art),225,782,2,3,15827,50027,2.5,0,1,1,1,1,,,,
EN,Papermaking,Bleaching of wood pulp,114,452,2,3,20500,75510,2.5,0,1,1,1,1,,,,
ES,Turquia,Reformas de Atatürk,695,936,2,1,14102,521902,1.5,0,0,0,0,1,,,,
EN,Human factors and ergonomics,Henry Dreyfuss,404,97,1,0,38098,9859,0.5,0,0,0,0,1,,,,
EN,Papua New Guinea,Conservation in Papua New Guinea,458,1495,3,1,24993,48984,2,0,1,1,0,2,,,,
EN,Apprenticeship,Apprentices mobility,846,271,3,0,17154,28294,1.5,0,0,1,0,3,,,,
EN,Quarto,Bookbinding,301,201,1,1,34765,46552,1,0,0,0,0,0,,,,
EN,ESRO,EXOSAT,871,368,1,1,53874,47541,1,0,0,0,0,0,,,,
ES,Etanol,Efectos del alcohol en el cuerpo,213,614,3,0,19399,31228,1.5,0,0,1,0,3,,,,
ES,Matrimonio entre personas del mismo sexo,Matrimonio entre personas del mismo sexo en Estados Unidos,491,522,3,1,8571,987139,2,0,1,1,0,2,,,,
EN,OS X,Comparison of BSD operating systems,649,658,2,0,15454,189513,1,0,0,0,0,2,,,,
ES,Homo sapiens,Anatomia humana,200,436,2,2,6042,28959,2,0,1,0,0,0,,,,
ES,Alimento,Gastronomia,86,562,2,1,14659,38310,1.5,0,0,0,0,1,,,,
ES,Homo sapiens,Sexualidad humana,200,591,2,2,135710,27541,2,0,1,0,0,0,,,,
EN,Papua New Guinea,Geography of Papua New Guinea,458,300,3,3,18472,16464,3,1,1,1,1,0,,,,
EN,Science in the medieval Islamic world,Psychology in medieval Islam,439,300,3,2,20022,47422,2.5,0,1,1,1,1,,,,
EN,Android (operating system),Index of Android OS articles,515,51,3,3,9144,25727,3,1,1,1,1,0,,,,
ES,Mac OS X,Mac OS X v10.2,551,839,3,3,7107,40704,3,1,1,1,1,0,,,,
EN,List of Chinese inventions,Four Great Inventions,222,185,3,2,7915,51480,2.5,0,1,1,1,1,,,,
ES,Tolerancia social,Filosofia politica,135,791,0,0,22073,551815,0,0,0,0,0,0,,,,
EN,Dragon,Behemoth,402,242,0,0,12469,964613,0,0,0,0,0,0,,,,
EN,Chinese ceramics,Pinner,588,76,0,0,155803,35529,0,0,0,0,0,0,,,,
EN,Apprenticeship,Guild,846,546,0,1,27321,131688,0.5,0,0,0,0,1,,,,
ES,Mac OS X,iLife,551,398,2,1,63995,15801,1.5,0,0,0,0,1,,,,
ES,Segunda Guerra Mundial,Hechos anteriores a la Segunda Guerra Mundial en Asia,934,890,3,3,5765,83133,3,1,1,1,1,0,,,,
ES,Derivada,Derivacion numerica,495,180,3,3,92079,17891,3,1,1,1,1,0,,,,
ES,Organizacion de las Naciones Unidas,Television de Naciones Unidas,370,348,3,3,213024,17708,3,1,1,1,1,0,,,,
EN,Hard disk drive,Write precompensation,518,476,2,3,23644,169053,2.5,0,1,1,1,1,,,,
EN,List of Northwestern University buildings,Dearborn Observatory,320,294,3,3,30592,14293,3,1,1,1,1,0,,,,
ES,Queen,Anexo:Giras musicales de Queen,371,121,3,3,6635,8118,3,1,1,1,1,0,,,,
EN,History of paper,Friedrich Gottlob Keller,780,435,3,1,12568,34765,2,0,1,1,0,2,,,,
ES,Matrimonio entre personas del mismo sexo,Heterosexismo,491,669,1,1,197890,71389,1,0,0,0,0,0,,,,
EN,J. R. R. Tolkien,Languages constructed by J. R. R. Tolkien,266,416,3,3,11376,9529,3,1,1,1,1,0,,,,
ES,Harry Potter,Harry Potter y el prisionero de Azkaban,487,365,3,3,182797,52546,3,1,1,1,1,0,,,,
EN,Singing,Chiaroscuro (music),1024,623,2,2,9730,15129,2,0,1,0,0,0,,,,
ES,Calculo infinitesimal,Seki Kowa,202,447,2,1,18446,609334,1.5,0,0,0,0,1,,,,
EN,Science in the medieval Islamic world,History of scientific method,439,740,1,1,26377,1293082,1,0,0,0,0,0,,,,
EN,Blastaar,Annihilation (comics),241,239,1,0,94599,401905,0.5,0,0,0,0,1,,,,
EN,Outline of crafts,Handicraft,80,511,2,3,8641,216093,2.5,0,1,1,1,1,,,,
EN,Android (operating system),Google Chrome OS,515,241,0,0,14355,274222,0,0,0,0,0,0,,,,
EN,Apprenticeship,School-to-work transition,846,323,3,3,10398,85783,3,1,1,1,1,0,,,,
EN,Precision and Recall,Binary classification,698,215,1,0,69082,612974,0.5,0,0,0,0,1,,,,
ES,Segunda Guerra Mundial,Hechos anteriores a la Segunda Guerra Mundial en Europa,934,131,3,2,4711,15812,2.5,0,1,1,1,1,,,,
ES,Super Smash Bros.,Super Smash Bros. (saga),1004,879,2,1,17880,232454,1.5,0,0,0,0,1,,,,
EN,The Silmarillion,The Tale of Beren and Luthien,512,465,3,1,31255,49235,2,0,1,1,0,2,,,,
ES,Segunda Guerra Mundial,Fall Blau,934,408,3,3,7455,54129,3,1,1,1,1,0,,,,
ES,Segunda Guerra Mundial,Gulag,934,360,2,0,13690,237680,1,0,0,0,0,2,,,,
EN,Compass,Binnacle,953,606,2,1,19036,287458,1.5,0,0,0,0,1,,,,
ES,Valdemoro,Historia de Valdemoro,233,282,3,2,8730,25311,2.5,0,1,1,1,1,,,,
EN,Science in the medieval Islamic world,Physics in medieval Islam,439,747,3,2,4830,73496,2.5,0,1,1,1,1,,,,
ES,Politica de Mexico,Municipios de Mexico,688,514,1,1,13297,144329,1,0,0,0,0,0,,,,
EN,Chinese ceramics,Yixing clay,588,824,0,1,94557,23983,0.5,0,0,0,0,1,,,,
EN,Dragon,Balaur,402,480,2,2,32963,29948,2,0,1,0,0,0,,,,
EN,Space opera,List of space opera media,454,568,3,3,30668,108591,3,1,1,1,1,0,,,,
ES,Homo sapiens,Antropologia,200,760,2,1,17264,21064,1.5,0,0,0,0,1,,,,
ES,Ecologia,Factores bioticos,533,440,3,3,8616,34793,3,1,1,1,1,0,,,,
ES,Derechos humanos,Corte Interamericana de Derechos Humanos,437,446,3,2,30393,36749,2.5,0,1,1,1,1,,,,
ES,Flamenco,Dia del Flamenco,1087,143,3,2,15296,25689,2.5,0,1,1,1,1,,,,
EN,Paper size,Paper density,405,832,0,2,44969,151366,1,0,0,0,0,2,,,,
EN,Nintendo 64,1964 (Emulator),896,302,3,2,17807,186622,2.5,0,1,1,1,1,,,,
EN,Singing,Head voice,1024,268,2,2,9240,166896,2,0,1,0,0,0,,,,
EN,Nintendo 64,UltraHLE,896,307,3,2,4843,17771,2.5,0,1,1,1,1,,,,
EN,Super Smash Bros.,Super Smash Bros. (series),787,946,2,1,94264,86909,1.5,0,0,0,0,1,,,,
EN,Andy Kaufman,Latka Gravas,594,163,3,3,14136,29083,3,1,1,1,1,0,,,,
EN,List of Northwestern University buildings,Garrett-Evangelical Theological Seminary,320,143,0,3,45669,9226,1.5,0,0,1,0,3,,,,
EN,Pottery,Minoan pottery,303,695,3,2,7050,54290,2.5,0,1,1,1,1,,,,
ES,Ecologia,Ecologia cultural,533,480,3,1,8391,2557774,2,0,1,1,0,2,,,,
EN,Frog,Decline in amphibian populations,610,859,2,1,9547,24674,1.5,0,0,0,0,1,,,,
ES,Matrimonio entre personas del mismo sexo,Matrimonio,491,638,1,1,6359,39739,1,0,0,0,0,0,,,,
ES,Spiral,BOR-4,186,638,2,1,24793,134919,1.5,0,0,0,0,1,,,,
ES,Homo sapiens,Filosofia,200,700,1,0,73665,56528,0.5,0,0,0,0,1,,,,
EN,Porcelain,Ceramic forming techniques,359,1153,3,1,50849,181130,2,0,1,1,0,2,,,,
EN,Godzilla,Godzilla in popular culture,487,326,3,3,11235,16508,3,1,1,1,1,0,,,,
EN,Proton,Proton decay,600,250,3,3,20643,15128,3,1,1,1,1,0,,,,
ES,STS-335,Estacion Espacial Internacional,391,628,0,0,25956,175343,0,0,0,0,0,0,,,,
ES,Segunda Guerra Mundial,Crimenes de guerra japoneses,934,634,1,1,19722,13854,1,0,0,0,0,0,,,,
EN,The War of the Worlds,Le Monde's 100 Books of the Century,361,203,1,1,14977,60935,1,0,0,0,0,0,,,,
EN,Craft,Apprenticeship,369,846,0,1,12973,207102,0.5,0,0,0,0,1,,,,
ES,Homo sapiens,Homo homini lupus,200,105,1,0,59310,21227,0.5,0,0,0,0,1,,,,
ES,WHSV-TV,WHSV-DT2,375,219,2,3,45471,19561,2.5,0,1,1,1,1,,,,
EN,City council,Local government in the United States,151,1103,1,1,14045,96164,1,0,0,0,0,0,,,,
ES,Radiactividad,Radiacion ionizante,813,154,2,3,10344,104294,2.5,0,1,1,1,1,,,,
ES,Homo sapiens,Pensamiento (mente),200,712,2,1,11304,9595,1.5,0,0,0,0,1,,,,
EN,Liberalism,Ludwig von Mises Institute,415,542,0,0,19340,248752,0,0,0,0,0,0,,,,
ES,Lava,Lava acojinada,286,509,3,3,31053,15020,3,1,1,1,1,0,,,,
EN,Human factors and ergonomics,Repetitive strain injury,404,442,0,1,49788,17933,0.5,0,0,0,0,1,,,,
EN,Porcelain,Pottery,359,303,1,1,82315,107725,1,0,0,0,0,0,,,,
ES,Queen,Anexo:Discografia de Queen,371,422,3,3,6953,26409,3,1,1,1,1,0,,,,
ES,Homo sapiens,Razas humanas,200,597,2,1,7945,508931,1.5,0,0,0,0,1,,,,
ES,Teléfono,Telefono descompuesto,137,212,0,0,282512,18038,0,0,0,0,0,0,,,,
ES,Politica de Mexico,Congreso de la Union,688,292,3,3,7594,62230,3,1,1,1,1,0,,,,
ES,Homo sapiens,Danza,200,592,1,0,35072,6365,0.5,0,0,0,0,1,,,,
ES,Copa Mundial de Futbol,Copa Mundial de Futbol Sub-17,524,432,3,1,21309,11486,2,0,1,1,0,2,,,,
EN,Craft,Arts and Crafts Movement,369,830,1,0,8076,17987,0.5,0,0,0,0,1,,,,
EN,Pottery,Ancient Roman pottery,303,468,3,1,46384,182269,2,0,1,1,0,2,,,,
ES,Torneo Apertura 2009 (Colombia),Anexo:Final del Torneo Apertura 2009 (Colombia),455,443,3,2,125997,9065,2.5,0,1,1,1,1,,,,
EN,Creator deity,Logos (Christianity),416,277,1,0,19903,185639,0.5,0,0,0,0,1,,,,
ES,Microsoft Office,Microsoft Outlook,1000,148,2,3,67112,16745,2.5,0,1,1,1,1,,,,
ES,Matrimonio entre personas del mismo sexo,Matrimonio entre personas del mismo sexo en los Paises Bajos,491,104,3,2,6451,12636,2.5,0,1,1,1,1,,,,
EN,Human factors and ergonomics,Human computer interaction,404,727,1,0,14751,118383,0.5,0,0,0,0,1,,,,
ES,Radiactividad,Teoria atomica,813,155,1,0,7070,28075,0.5,0,0,0,0,1,,,,
ES,Mac OS X,Mac OS X v10.1,551,423,3,3,6648,11188,3,1,1,1,1,0,,,,
EN,Actor,Extra (actor),356,505,2,3,7689,5656,2.5,0,1,1,1,1,,,,
ES,Ecologia,Biogeografia,533,481,2,1,29767,60222,1.5,0,0,0,0,1,,,,
EN,Wood,Burl,878,289,1,0,19902,182255,0.5,0,0,0,0,1,,,,
EN,The Silmarillion,Valaquenta,512,213,2,3,462255,10615,2.5,0,1,1,1,1,,,,
ES,Derivada,Isaac Newton,495,626,1,1,11815,8955,1,0,0,0,0,0,,,,
EN,Hard disk drive,History of hard disk drives,518,602,3,2,125803,23940,2.5,0,1,1,1,1,,,,
EN,Wood,Wood pellet,878,618,2,1,53904,773681,1.5,0,0,0,0,1,,,,
ES,Homo sapiens,Sistema reproductivo,200,452,2,3,123293,165955,2.5,0,1,1,1,1,,,,
ES,Tolerancia social,Libertad,135,314,1,1,115981,38205,1,0,0,0,0,0,,,,
ES,Organizacion de las Naciones Unidas,Inteligencia sanitaria,370,229,0,1,60154,47981,0.5,0,0,0,0,1,,,,
EN,European Space Agency,Skylon (spacecraft),405,655,1,0,193915,35152,0.5,0,0,0,0,1,,,,
EN,Science in the medieval Islamic world,Islamic Golden Age,439,1198,2,1,86382,79807,1.5,0,0,0,0,1,,,,
EN,Apprenticeship,Educational Theory of Apprenticeship,846,614,3,2,253661,42931,2.5,0,1,1,1,1,,,,
EN,Dragon,Sea serpent,402,88,2,3,11583,8778,2.5,0,1,1,1,1,,,,
EN,Nexus One,Comparison of Android devices,429,278,2,0,83430,113695,1,0,0,0,0,2,,,,
ES,STS-335,STS-135,391,1420,2,0,127457,69004,1,0,0,0,0,2,,,,
ES,Segunda Guerra Mundial,Bloque del Este,934,305,2,0,12379,16783,1,0,0,0,0,2,,,,
ES,Tomas Cipriano de Mosquera,Anexo:Gobernadores de Cauca,581,93,2,0,17787,35445,1,0,0,0,0,2,,,,
ES,Sindicato,Flexibilidad laboral,299,589,2,3,49220,49059,2.5,0,1,1,1,1,,,,
EN,OS X,OS X Mountain Lion,649,490,2,3,11546,18939,2.5,0,1,1,1,1,,,,
ES,Etanol,Etanol (combustible),213,278,2,2,8700,16134,2,0,1,0,0,0,,,,
ES,Alimento,Lote vegetariano,86,333,1,1,20331,26883,1,0,0,0,0,0,,,,
EN,List of volcanoes in Spain,Lists of volcanoes,56,156,1,0,12266,16502,0.5,0,0,0,0,1,,,,
ES,Reloj atomico,Reloj de logica cuantica,511,832,1,0,337776,69404,0.5,0,0,0,0,1,,,,
EN,Sudoku,Killer sudoku,448,332,2,1,15950,16979,1.5,0,0,0,0,1,,,,
EN,Singing,Vocal music,1024,495,2,2,8251,7050,2,0,1,0,0,0,,,,
ES,Valdemoro,Parque Regional del Sureste,233,329,1,0,22647,77912,0.5,0,0,0,0,1,,,,
ES,Mac OS X,Mac OS X v10.7,551,448,3,3,4054,7762,3,1,1,1,1,0,,,,
EN,Proton,Neutron,600,892,1,1,5091,17323,1,0,0,0,0,0,,,,
ES,Derechos humanos,Libertad,437,314,2,2,8098,9338,2,0,1,0,0,0,,,,
ES,Politica de Mexico,Camara de Diputados  (Mexico),688,349,2,2,9350,12431,2,0,1,0,0,0,,,,
EN,Papermaking,Environmental issues with paper,114,544,1,1,31154,78548,1,0,0,0,0,0,,,,
EN,Dragon,Feilong (mythology),402,327,2,2,10890,11367,2,0,1,0,0,0,,,,