main 	sub	rating1	rating2
美国	美国历史	3	3
美国	冷戰	0	0
美国	美國革命	3	3
美国	美國領土變遷	3	3
美国	美國河流列表	3	3
百慕大	百慕達人口	3	3
罗马共和国	羅馬帝國	1	1
羅馬帝國	古羅馬文化	3	3
伦敦	伦敦的机场	3	3
犹太人	犹太启蒙运动	3	2
犹太人	犹太人大屠杀	2	3
犹太人	以色列	1	0
以巴冲突	第三次中东战争	2	1
以巴冲突	巴勒斯坦大起义	3	1
第二次世界大战	第二次世界大戰的起因	3	3
第二次世界大战	波兰战役	2	2
第二次世界大战	太平洋战争	2	2
異特龍屬	異特龍屬的種	3	3
黃石國家公園	超级火山	0	1
黃石國家公園	黄石火山	3	3
唐朝	隋末民变	2	2
唐朝	唐朝统一战争	3	2
唐朝	第二次宦官時代	3	3
唐朝	甘露之變	3	2
金聖歎	哭廟案	1	2
儒家	韓國儒學	3	3
太平經	太平道 (宗教)	0	1
努尔哈赤	古勒山之战	1	1
协和飞机	1973年6月30日日食	0	2
徐向前	第一次国共内战	0	1
徐向前	中国工农红军第四方面军	0	1
1984年羅傑尼希教生物恐怖攻擊	2001年美國炭疽攻擊事件	0	0
稀有气体	稀有气体化合物	3	3
稀有气体	稀有气体 (数据页)	3	3
稀有气体	貴金屬	0	0
日本	日本历史	3	3
日本	日本行政區劃	3	3
培根配啥都美味	烟肉料理列表	0	3
输油管道	等温输送	2	3
天津市	天津老城	2	3
天津市	天津租界	3	3
德国足球甲级联赛	德国足球甲级联赛纪录	3	3
自由女神像	世界各地的自由女神像	1	3
蛋白酶体	泛素	1	1
哥伦布半美元	芝加哥哥伦布纪念博览会	1	1
雷根遇刺案	林肯遇刺案	0	0
满族	女真	1	0
神奇胸罩	胸罩历史	0	3
中國	中國的稱號	3	3
中國	中国朝代	3	3
雪豹	国际雪豹基金会	0	3
禽龍屬	禽龍類	1	3
奥斯曼帝国	鄂圖曼帝國的崛起	3	3
美国诉黄金德案	美国公民出生地原则	0	0
美国诉黄金德案	美利坚合众国宪法第十四条修正案	0	0
CSI效应	犯罪现场调查	1	1
名偵探柯南	名侦探柯南漫画列表	3	3
异形大战铁血战士	2000年代科幻電影列表	0	2
习近平	中华人民共和国党和国家领导人著作列表	1	1
唐诗	律詩	1	1
唐诗	絕句	1	1
中国共产党	中國共產黨歷史	3	3
中国共产党	中國共產主義青年團	2	3
中国共产党	共產黨恐怖主義	0	3
算法	NP (複雜度)	3	2
病毒	生物病毒分類表	3	3
病毒	免疫系统	1	1
病毒	疫苗接種	1	1
病毒	噬菌体	1	3
宋朝	北宋	2	2
宋朝	元滅宋之戰	2	3
宋朝	宋朝行政區劃	3	3
哲学	古典哲学	3	3
哲学	古希腊哲学	3	3
哲学	中世纪哲学	3	3
恐龙	恐龍分類表	3	3
恐龙	恐龍生理學	3	3
恐龙	有羽毛恐龍	3	3
东京	東京歷史	3	3
美国宪法	美国宪法历史	3	3
明朝	明朝歷史	3	3
明朝	明朝统一战争	3	3
明朝	元末民變	1	3
明朝	洪武之治	2	3
奥斯卡金像奖	好莱坞高地中心	1	1
奥斯卡金像奖	奥斯卡颁奖典礼	3	3
诺贝尔奖	諾貝爾獎得主列表	3	3
诺贝尔奖	各國諾貝爾獎得主人數	3	3
诺贝尔奖	諾貝爾獎女性得主列表	3	3
高速鐵路	新幹線	2	2
高速鐵路	法國高速列車	2	3
星艦奇航記	星際爭霸戰	3	2
星艦奇航記	星际旅行用语列表	3	3
星艦奇航記	星际旅行种族列表	3	3
NBA	已解散的NBA球队列表	3	3
NBA	NBA常规赛	2	3
NBA	NBA全明星周末	2	3
NBA	NBA总冠军	3	3
满族	滿族姓氏	3	3
名偵探柯南	名侦探柯南漫画列表	3	3